mass,weight,sample,role
472.0165,1.0,Data,data
263.9121,1.0,Data,data
162.74818,1.0,Data,data
91.263,1.0,Data,data
241.91814,1.0,Data,data
228.4923,1.0,Data,data
190.3704,1.0,Data,data
212.52658,1.0,Data,data
223.38103,1.0,Data,data
247.93408,1.0,Data,data
91.4514,1.0,Data,data
249.69743,1.0,Data,data
162.3035,1.0,Data,data
89.00351,1.0,Data,data
190.40952,1.0,Data,data
443.84653,1.0,Data,data
123.883675,1.0,Data,data
115.85592,1.0,Data,data
180.77357,1.0,Data,data
284.19025,1.0,Data,data
88.511566,1.0,Data,data
191.0525,1.0,Data,data
183.26266,1.0,Data,data
88.60458,1.0,Data,data
282.45828,1.0,Data,data
65.97237,1.0,Data,data
90.91894,1.0,Data,data
472.3632,1.0,Data,data
222.51257,1.0,Data,data
131.81511,1.0,Data,data
196.35696,1.0,Data,data
428.66968,1.0,Data,data
241.47495,1.0,Data,data
446.23474,1.0,Data,data
301.5274,1.0,Data,data
193.30022,1.0,Data,data
91.68324,1.0,Data,data
452.3862,1.0,Data,data
95.837425,1.0,Data,data
311.91443,1.0,Data,data
161.64848,1.0,Data,data
281.63284,1.0,Data,data
514.3924,1.0,Data,data
253.7402,1.0,Data,data
134.57964,1.0,Data,data
128.01456,1.0,Data,data
199.50952,1.0,Data,data
289.8526,1.0,Data,data
280.2551,1.0,Data,data
91.38727,1.0,Data,data
454.16376,1.0,Data,data
221.09839,1.0,Data,data
217.40886,1.0,Data,data
127.79458,1.0,Data,data
116.82912,1.0,Data,data
523.1515,1.0,Data,data
242.05855,1.0,Data,data
470.69894,1.0,Data,data
199.68095,1.0,Data,data
84.12296,1.0,Data,data
248.4554,1.0,Data,data
86.221436,1.0,Data,data
292.72354,1.0,Data,data
182.91878,1.0,Data,data
93.30304,1.0,Data,data
167.5586,1.0,Data,data
315.13788,1.0,Data,data
92.50545,1.0,Data,data
280.62186,1.0,Data,data
265.93503,1.0,Data,data
398.446,1.0,Data,data
313.66458,1.0,Data,data
278.8108,1.0,Data,data
405.268,1.0,Data,data
90.33632,1.0,Data,data
336.71637,1.0,Data,data
330.7952,1.0,Data,data
240.58388,1.0,Data,data
198.02495,1.0,Data,data
186.15486,1.0,Data,data
133.92177,1.0,Data,data
192.17484,1.0,Data,data
393.43643,1.0,Data,data
147.75615,1.0,Data,data
